Categoría,Alimento,Producto,Empresa
Bebidas y jugos,Néctar,"Jugo de naranja, 3lt",Ocle
Bebidas y jugos,Néctar,"Jugo de Frutilla y Frutos Rojos 3 , 3lt",Ocle
Bebidas y jugos,Néctar,"Jugo de mango, 3lt",Ocle
Bebidas y jugos,Néctar,Nectar Piña caja 1Lt,Soprole
Bebidas y jugos,Néctar,Nectar Naranja caja Mid 1lt,Soprole
Bebidas y jugos,Néctar,Nectar Durazno caja 1Lt,Soprole
Bebidas y jugos,Néctar,"Nectar Damasco, 200ml",Soprole
Bebidas y jugos,Néctar,"Nectar Damasco, 1lt",Soprole
Bebidas y jugos,Néctar,"Néctar Naranja 100% natural (premium) UHT, 330ml",Colun
Bebidas y jugos,Néctar,"Néctar Piña100% natural (premium), UHT, 330ml",Colun
Bebidas y jugos,Néctar,"Néctar Naranja (UHT), 200cc y 1lt",Colun
Bebidas y jugos,Néctar,"Néctar Damasco (UHT), formato 200cc y 1lt",Colun
Bebidas y jugos,Néctar,"Néctar Piña (UHT), 200cc y 1lt",Colun
Bebidas y jugos,Néctar,"Néctar Durazno (UHT), 200cc y 1lt",Colun
Bebidas y jugos,Néctar,"Néctar Manzana (UHT) , 200cc y 1lt",Colun
Bebidas y jugos,Néctar,"Néctar Durazno, 200ml",Soprole
Bebidas y jugos,Néctar,"Néctar Manzana, 200ml",Soprole
Bebidas y jugos,Néctar,"Néctar Naranja, 200ml",Soprole
Bebidas y jugos,Néctar,"Néctar Piña, 200ml",Soprole
Bebidas y jugos,Néctar,"Néctar Watts Naranja valencia, 350cc y 1 litro",Watt's - CCU
Bebidas y jugos,Néctar,"Néctar Watts Papaya, 350cc y 1 litro",Watt's - CCU
Bebidas y jugos,Néctar,"Néctar Watts Naranja 0%, 300cc, 1,5 litros y 1,75 litros",Watt's - CCU
Bebidas y jugos,Néctar,"Néctar Watts Durazno 0%, 300cc, 1,5 litros y 1,75 litros",Watt's - CCU
Bebidas y jugos,Néctar,"Néctar Watts Tuttifrutilla 0%, 300cc, 1,5 litros, 1,75 litros",Watt's - CCU
Bebidas y jugos,Néctar,"Néctar Watts Piña 0%, 1,5 litros y 1,75 litros",Watt's - CCU
